   # E(MeVfm-3)              P(MeVfm-3)               rho/rho0  
   143.03308971395808        7.3202686760852967E-002  0.59500000000000008     
   166.07153904903433       0.12461203302927501       0.69000000000000006     
   188.81311170085584       0.20464323181873495       0.78500000000000014     
   211.25662233968370       0.32060769610522732       0.88000000000000000     
   233.40866612546350       0.48024992414849177       0.97499999999999998     
   255.28183080832207       0.69166917004009776        1.0699999999999998     
   276.89297368695725       0.96322421307315320        1.1649999999999998     
   298.26175530856085        1.3034392594265620        1.2599999999999998     
   319.40947954978822        1.7209205696178940        1.3549999999999998     
   340.35822261964063        2.2242875999392027        1.4499999999999997     
   361.13020654843717        2.8221189948838568        1.5449999999999997     
   381.74736671008520        3.5229120110861221        1.6399999999999997     
   402.23106679389650        4.3350532616637985        1.7349999999999997     
   422.60192224548149        5.2667985738656897        1.8299999999999996     
   442.87970138932269        6.3262599477741963        1.9249999999999996     
   463.08328082140042        7.5213979105479210        2.0199999999999996     
   483.23063774202285        8.8600178839440229        2.1149999999999993     
   503.33886666217256        10.349769477763711        2.2099999999999995     
   523.42421152500151        11.998147871728504        2.3049999999999993     
   543.50210695551368        13.812496650888976        2.3999999999999995     
   563.58722429633735        15.800011619333869        2.4949999999999992     
   583.69351948509166        17.967745240395377        2.5899999999999994     
   603.83428082230148        20.322611445664123        2.6849999999999992     
   624.02217537793877        22.871390626172428        2.7799999999999989     
   644.26929327168739        25.620734672318047        2.8749999999999991     
   664.58718939741607        28.577171968698018        2.9699999999999989     
   684.98692239010006        31.747112279318415        3.0649999999999991     
   705.47909078523537        35.136851480194842        3.1599999999999988     
   726.07386641940423        38.752576112109082        3.2549999999999990     
   746.78102518221385        42.600367737716361        3.3499999999999988     
   767.60997526589449        46.686207095410850        3.4449999999999985     
   788.56978307748977        51.015978048192018        3.5399999999999987     
   809.66919698555239        55.595471329844706        3.6349999999999985     
   830.91666907257513        60.430388093527988        3.7299999999999986     
   852.32037505882840        65.526343269689917        3.8249999999999984     
   873.88823255478883        70.888868741367588        3.9199999999999986     
   895.62791778923622        76.523416345558886        4.0149999999999979     
   917.54688094927462        82.435360709633130        4.1099999999999985     
   939.65236025758816        88.630001931763047        4.2049999999999983     
   961.95139490154429        95.112568114208770        4.2999999999999980     
   984.45083691856212        101.88821775800439        4.3949999999999978     
   1007.1573621325866        108.96204202724829        4.4899999999999984     
   1030.0774802276292        116.33906689079566        4.5849999999999982     
   1053.2175440361648        124.02425514872765        4.6799999999999979     
   1076.5837581127166        132.02250835053701        4.7749999999999977     
   1100.1821866561650        140.33866861153862        4.8699999999999974     
   1124.0187608381768        148.97752033359012        4.9649999999999981     
   1148.0992855895790        157.94379183580145        5.0599999999999978     
   1172.4294458914997        167.24215690052034        5.1549999999999976     
   1197.0148126135782        176.87723623951447        5.2499999999999973     
   1221.8608479374807        186.85359888491854        5.3449999999999980     
   1246.9729104003079        197.17576350918969        5.4399999999999977     
   1272.3562595891910        207.84819967800451        5.5349999999999975     
   1298.0160605154210        218.87532903974764        5.6299999999999972     
   1323.9573876937989        230.26152645496691        5.7249999999999970     
   1350.1852289505018        242.01112106892882        5.8199999999999976     
   1376.7044889806175        254.12839733016696        5.9149999999999974     
   1403.5199926745474        266.61759595770269        6.0099999999999971     
   1430.6364882307566        279.48291485941576        6.1049999999999969     
   1458.0586500707454        292.72851000385060        6.1999999999999966     
   1485.7910815707278        306.35849624756952        6.2949999999999973     
   1513.8383176231869        320.37694812000052        6.3899999999999979     
   1542.2048270403486        334.78790056757111        6.4849999999999985     
   1570.8950148105309        349.59534965877879        6.5799999999999992     
   1599.9132242173996        364.80325325170600        6.6749999999999998     
   1629.2637388312828        380.41553162537178        6.7700000000000005     
   1658.9507843809115        396.43606807618045        6.8650000000000011     
   1688.9785305132450        412.86870948062193        6.9600000000000017     
   1719.3510924483776        429.71726682526605        7.0550000000000024     
   1750.0725325359449        446.98551570499649        7.1500000000000030     
   1781.1468617188818        464.67719679032228        7.2450000000000037     
   1812.5780409099118        482.79601626452649        7.3400000000000043     
   1844.3699822856704        501.34564623130518        7.4350000000000049     
   1876.5265505029583        520.32972509347405        7.5300000000000056     
   1909.0515638412319        539.75185790323314        7.6250000000000062     
   1941.9487952750751        559.61561668439708        7.7200000000000069     
   1975.2219734800824        579.92454072691646        7.8150000000000075     
   2008.8747837752583        600.68213685393971        7.9100000000000081     
   2042.9108690047747        621.89187966159045        8.0050000000000097     
   2077.3338303616429        643.55721173153961        8.1000000000000103     
   2112.1472281556275        665.68154381640306        8.1950000000000109     
   2147.3545825274841        688.26825499788913        8.2900000000000116     
   2182.9593741113849        711.32069281755741        8.3850000000000122     
   2218.9650446472015        734.84217337996267        8.4800000000000129     
   2255.3749975440924        758.83598142788640        8.5750000000000135     
   2292.1925983966862        783.30537038925718        8.6700000000000141     
   2329.4211754549319        808.25356239528583        8.7650000000000148     
   2367.0640200485577        833.68374826925412        8.8600000000000154     
   2405.1243869668615        859.59908748529153        8.9550000000000161     
   2443.6054947944394        886.00270809638300        9.0500000000000167     
   2482.5105262032471        912.89770663074933        9.1450000000000173     
   2521.8426282012751        940.28714795562939        9.2400000000000180     
   2561.6049123379148        968.17406510738158        9.3350000000000186     
   2601.8004548659615        996.56145908669976        9.4300000000000193     
   2642.4322968600259        1025.4522986176132        9.5250000000000199     
   2683.5034442909614        1054.8495198687947        9.6200000000000205     
   2725.0168680557435        1084.7560261355632        9.7150000000000212     
   2766.9755039620659        1115.1746874808082        9.8100000000000218     
   2809.3822526667459        1146.1083403328830        9.9050000000000225     
